Platform,Campaign_Name,Date,Region,Device_Type,Audience_Segment,Campaign_Objective,Impressions,Reach,Frequency,Clicks,CTR(%),CPC($),CPM($),Spend($),Engagements,Engagement_Rate(%),Cost_per_Engagement($),Conversions,Conversion_Rate(%),Avg_Order_Value($),Revenue($),Profit($),Profit_Margin,ROAS,CAC($),ROI(%),Revenue_per_Dollar
Meta,Summer_Sale,2025-06-01,Asia-Pacific,Tablet,High-Value Customers,Conversions,197966,164331,1.2,3503,1.6815,0.87,15.39,3047.61,6451,3.586,0.47,123,3.52,27.39,3368.97,1078.07,0.32,1.11,24.78,10.54,1.11
Meta,Summer_Sale,2025-06-02,North America,Mobile,High-Value Customers,Awareness,218129,194781,1.12,3511,1.61,0.41,6.6,1439.51,13188,6.05,0.11,52,1.5,51.25,2665.0,879.45,0.33,1.85,27.68,85.13,1.85
Meta,Summer_Sale,2025-06-03,Europe,Desktop,New Customers,Awareness,194887,112631,1.73,1676,0.86,0.46,3.96,770.96,7497,3.85,0.1,37,2.26,20.7,804.195,426.22,0.53,1.04,20.84,4.31,1.04
Meta,Summer_Sale,2025-06-04,India,Desktop,High-Value Customers,Retention,65725,54026,1.22,880,1.34,0.568,9.51,624.8,2375,3.61,0.26,28,3.23,31.85,802.62,248.81,0.31,1.28,22.31,28.46,1.28
Meta,Summer_Sale,2025-06-05,Europe,Mobile,Returning Customers,Retention,105979,73413,1.44,1738,1.64,0.61,10.0,1060.18,5240,4.94,0.2,63,3.67,46.82,3097.143,836.23,0.27,2.92,16.83,192.13,2.92
Meta,Summer_Sale,2025-06-06,Asia-Pacific,Tablet,New Customers,Conversions,74314,50844,1.46,1010,1.36,0.75,10.19,757.5,1987,2.67,0.38,39,3.95,24.38,950.82,370.82,0.39,1.26,19.42,25.52,1.26
Meta,Summer_Sale,2025-06-07,Asia-Pacific,Desktop,Returning Customers,Traffic,226391,169232,1.34,2309,0.969,0.4,4.08,923.6,11587,5.632000000000001,0.08,54,2.34,29.15,1574.1,535.19,0.34,1.7,17.1,70.43,1.7
Meta,Summer_Sale,2025-06-08,Europe,Tablet,High-Value Customers,Conversions,120431,90882,1.33,1529,1.2065,0.64,8.13,978.56,1371,1.254,0.71,56,3.7,40.77,2397.276,863.02,0.36,2.45,17.47,144.98,2.45
Meta,Summer_Sale,2025-06-09,North America,Mobile,High-Value Customers,Awareness,154509,121779,1.27,1684,1.09,0.73,7.96,1229.32,10894,7.05,0.11,21,1.29,48.9,1026.9,462.11,0.45,0.84,58.54,-16.47,0.84
Meta,Summer_Sale,2025-06-10,North America,Tablet,Returning Customers,Retention,169608,118808,1.43,1577,0.93,0.69,6.42,1088.13,6843,4.03,0.16,38,2.42,53.81,2044.78,838.36,0.41,1.88,28.64,87.92,1.88
Meta,Summer_Sale,2025-06-11,India,Desktop,Returning Customers,Traffic,234971,165516,1.42,2514,1.07,0.7040000000000001,9.42,2212.32,5934,2.53,0.37,69,2.78,26.27,1631.3670000000002,570.98,0.35,0.74,32.06,-26.26,0.74
Meta,Summer_Sale,2025-06-12,North America,Mobile,Returning Customers,Traffic,249739,188055,1.33,2747,1.1,0.4,4.4,1098.8,14938,5.98,0.07,90,3.31,35.36,3182.4,1272.96,0.4,2.9,12.21,189.63,2.9
Meta,Summer_Sale,2025-06-13,India,Tablet,High-Value Customers,Conversions,142703,122162,1.17,1170,0.82,0.664,6.81,971.1,4797,3.36,0.2,48,4.15,47.36,2045.9520000000002,1002.52,0.49,2.11,20.23,110.68,2.11
Meta,Summer_Sale,2025-06-14,Asia-Pacific,Desktop,New Customers,Awareness,296609,256297,1.16,2728,0.874,0.92,8.46,2509.76,13819,5.126,0.18,52,1.92,33.52,1743.04,453.19,0.26,0.69,48.26,-30.55,0.69
